ASIN,product_name,brand,FBA_label,amazon_choice,price_in_US_dollars,unit_price_flag,unit_price_USdollars,unit_price_unit,top_sales_rank,subscribe_flag,shipping_weight_in_ounces,answered_questions,rating_avg,rating_nums,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,subscribe_5_unitprice,subscribe_5_unit,subscribe_15_unitprice,subscribe_15_unit,unit_price2,unit_price,FBA,productDescription,product_image_urls,product_url,subscribe,subscribe_price_5per,shipping_weight,subscribe_price_15per_unit_price,subscribe_price_5per_unit_price,subscribe_price_15per_USdollars,subscribe_price_5per_USdollars
5480451286,Bewley's White Drinking Chocolate 250G,Bewley's,,False,14.9,False,,,5878.0,False,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,5480451286,,"Product description White Hot Chocolate Made with chocolate lovers in mind, Bewley's White Hot Chocolate is deliciously sweet, rich and smooth tasting. A History of Excellence For over 175 years Bewley's has been famous for its delicious hot drinks. Sweet, rich, white chocolate with a smooth taste Suitable for vegetarians Allergy Information Milk Soya Lifestyle Suitable for Vegetarians Pack Quantity 250g ℮",https://m.media-amazon.com/images/I/318n5yc5WSL._AC_UL320_.jpg,https://www.amazon.com/Bewleys-White-Drinking-Chocolate-250G/dp/5480451286/ref=sr_1_4359?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-4359&ts_id=2251594011&psc=1,,,nan,nan,nan,,
9748836843,3 Thai Naturegift Coffee Plus Sugar Free Slimming Weight Control Instant Coffee Made in Thailand,amc_worldclass,Third Party,False,38.58,False,,,4826.0,False,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,Ships from and sold by Natty Shop.,"f you have any questions both before buying or after you have purchased the item, please don't hesitate to contact us through ""My AMAZON MESSAGE only''. Communication is very important and we will try our best to assist all our customers. Questions will be answered as quickly as possible. (5 satchets per pack)",https://m.media-amazon.com/images/I/51RlgLnuJoL._AC_UL320_.jpg,https://www.amazon.com/Naturegift-Slimming-Control-Instant-Thailand/dp/9748836843/ref=sr_1_2061?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2061&ts_id=2251594011&psc=1,,,nan,nan,nan,,
B0001MAF1Q,Fireside Coffee Instant Cafe Mocha (Toasted Coconut) (8 ounce),Fireside,FBA,False,14.49,True,14.49,Item,1477.0,False,9.6,0,4.0,10.0,0.0,0.2,0.19,0.0,0.61,,,,,14.49 / Item,($14.49 / Item),Sold by 2ndTimesaCharm and Fulfilled by Amazon.,A classic pairing - now featuring coffee. Get toasty with this toasted coconut cafe mocha.,https://m.media-amazon.com/images/I/71NZUq1RbbL._AC_UL320_.jpg,https://www.amazon.com/Fireside-Coffee-Instant-Flavored-Canister/dp/B0001MAF1Q/ref=sr_1_672?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-672&ts_id=2251594011&psc=1,,,9.6 ounces,nan,nan,,
B0001MAF2U,Fireside Coffee Instant Cafe Mocha (Butter Rum) (8 ounce),Fireside,FBA,False,14.49,True,14.49,Item,1604.0,False,9.6,7,4.2,18.0,0.0,0.11,0.0,0.47,0.43,,,,,14.49 / Item,($14.49 / Item),Sold by 2ndTimesaCharm and Fulfilled by Amazon.,"The buttery, rich, traditional flavor you love - but with coffee and chocolate! Get cozy and treat yourself to something indulgent.",https://m.media-amazon.com/images/I/71Fl7x5EPAL._AC_UL320_.jpg,https://www.amazon.com/Fireside-Coffee-Instant-Flavored-Canister/dp/B0001MAF2U/ref=sr_1_1059?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1059&ts_id=2251594011&psc=1,,,9.6 ounces,nan,nan,,
B0001MAF4S,Fireside Coffee Cafe Mocha Instant Flavored Coffee 8 Ounce Canister - Hazelnut Mocha,Fireside Coffee,FBA,False,13.79,True,13.79,Item,2141.0,False,9.6,0,4.3,12.0,0.0,0.0,0.26,0.19,0.55,,,,,13.79 / Item,($13.79 / Item),Sold by AMPossibilities and Fulfilled by Amazon.,"Delicious creamy blend of spices, chocolate and coffee is a great treat to share with friends! New improvements to the formula have removed the partially hydrogenated soybean oil from the recipe and replaced it with coconut oil, so this product is no longer fat free. Each can contains 14 8-oz. servings. Great to drink hot or iced!",https://m.media-amazon.com/images/I/91JUEVwsVdL._AC_UL320_.jpg,https://www.amazon.com/Fireside-Coffee-Instant-Flavored-Canister/dp/B0001MAF4S/ref=sr_1_871?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-871&ts_id=2251594011&psc=1,,,9.6 ounces,nan,nan,,
B0002AZWX8,"Nescafe Classic Instant Greek Coffee, 7.08 Ounce",Nescafé,FBA,True,11.59,True,1.66,Ounce,24.0,False,10.4,16,4.6,591.0,0.04,0.03,0.03,0.1,0.81,,,,,1.66 / Ounce,($1.66 / Ounce),Sold by GreekCoffeeShop and Fulfilled by Amazon.,The original instant coffee to make frappe. Product of Greece.,https://m.media-amazon.com/images/I/81-4A9ULW5L._AC_UL320_.jpg,https://www.amazon.com/Nescafe-Classic-Instant-Greek-Coffee/dp/B0002AZWX8/ref=sr_1_28?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-28&ts_id=2251594011&psc=1,,,10.4 ounces,nan,nan,,
B0004M0HPM,"Chock Full o' Nuts Coffee, Regular Instant Coffee, 7 Oz",Chock Full o' Nuts,FBA,False,13.69,True,1.96,Ounce,431.0,False,22.4,0,4.7,66.0,0.02,0.03,0.01,0.11,0.83,,,,,1.96 / Ounce,($1.96 / Ounce),Sold by Common Cents Distributors and Fulfilled by Amazon.,100% Coffee. No nuts.,https://m.media-amazon.com/images/I/71ijQhVhy5L._AC_UL320_.jpg,https://www.amazon.com/Chock-Full-Coffee-Regular-Instant/dp/B0004M0HPM/ref=sr_1_179?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-179&ts_id=2251594011&psc=1,,,1.4 pounds,nan,nan,,
B0005ZUI8Y,"Maxwell House Instant Coffee, 8 oz",MAXWELL HOUSE,Third Party,False,8.94,True,1.12,oz,3722.0,False,8.8,0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,1.12 / oz,($1.12 / oz),Ships from and sold by Penelopes Pitshoppe.,"Enjoy the taste of rich and smooth texture and appetizing flavors with every sip of Maxwell House Instant Coffee that comes with a subtle aroma. This coffee comes in easy-to-handle and portable jars that are made with an easy-to-open lid. These lids are convenient and play a crucial role in retaining the consistency of the coffee. Easy to mix and quick to prepare, this coffee entices you with its instant mood-upliftment benefits.",https://m.media-amazon.com/images/I/41Wps28qxcL._AC_UL320_.jpg,https://www.amazon.com/MAXWELL-HOUSE-Maxwell-Instant-Coffee/dp/B0005ZUI8Y/ref=sr_1_1205?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1205&ts_id=2251594011&psc=1,,,8.8 ounces,nan,nan,,
B0005ZV3BK,Maxwell House Original Roast Instant Decaf Coffee (8 oz Canister),MAXWELL HOUSE,,False,9.94,False,,,587.0,False,10.4,5,4.3,57.0,0.1,0.03,0.04,0.15,0.68,,,,,,2.5 x 2.5 x 4.2 inches ; 8 ounces,,"Maxwell House Original Decaf Instant Coffee has a consistent signature taste that is good to the last drop. This original roast coffee is exceptionally smooth and is the perfect way to treat yourself any time of day. This decaf coffee features custom-roasted coffee for traditional flavor without the caffeine. Simply mix hot water and this decaf ground coffee mix without a brewer for instant indulgence. Maxwell House Kosher coffee is packaged in an 8 ounce resealable jar to help lock in flavor between uses. From lively light roasts to full bodied dark blends, Maxwell Houses signature taste is created through a process that isnt done the easy way, but the right way, for 125 years.",https://m.media-amazon.com/images/I/81VYeqFmkLL._AC_UL320_.jpg,https://www.amazon.com/Maxwell-House-Instant-Decaffeinated-Coffee/dp/B0005ZV3BK/ref=sr_1_237?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-237&ts_id=2251594011&psc=1,,,10.4 ounces,nan,nan,,
B0006NNICI,"Nescafe Taster's Choice, 100% Pure Instant Coffee Decaffeinated, 10 oz",Nescafé,Third Party,False,26.22,True,2.62,Ounce,1113.0,False,13.6,5,4.3,71.0,0.1,0.05,0.03,0.1,0.72,,,,,2.62 / Ounce,($2.62 / Ounce),Ships from and sold by AyseDayi.,"Nescafe Taster's Choice Decaffeinated Instant Coffee 2008 Best Taste Award. Roast Entensity: Light/Medium, Original. Mild Roasted for a Smooth Flavor. 99.7% Caffeine Free. 10 oz (283 g). We carefully roast our Decaffeinated blend for a rich roast flavor and aroma. With Nescafe Taster's Choice every cup is fresh, brewed instantly in your cup! Awarded by Professional Chefs of ChefsBest.",https://m.media-amazon.com/images/I/81agJjY0zdL._AC_UL320_.jpg,https://www.amazon.com/Nescafe-Tasters-Choice-Instant-Decaffeinated/dp/B0006NNICI/ref=sr_1_412?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-412&ts_id=2251594011&psc=1,,,13.6 ounces,nan,nan,,
