ASIN,product_name,brand,FBA_label,amazon_choice,price_in_US_dollars,unit_price_flag,unit_price_USdollars,unit_price_unit,top_sales_rank,subscribe_flag,shipping_weight_in_ounces,answered_questions,rating_avg,rating_nums,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,subscribe_5_unitprice,subscribe_5_unit,subscribe_15_unitprice,subscribe_15_unit
5480451286,Bewley's White Drinking Chocolate 250G,Bewley's,,False,14.9,False,,,5878.0,False,,0,,,0.0,0.0,0.0,0.0,0.0,,,,
9748836843,3 Thai Naturegift Coffee Plus Sugar Free Slimming Weight Control Instant Coffee Made in Thailand,amc_worldclass,Third Party,False,38.58,False,,,4826.0,False,,0,,,0.0,0.0,0.0,0.0,0.0,,,,
B0001MAF1Q,Fireside Coffee Instant Cafe Mocha (Toasted Coconut) (8 ounce),Fireside,FBA,False,14.49,True,14.49,Item,1477.0,False,9.6,0,4.0,10.0,0.0,0.2,0.19,0.0,0.61,,,,
B0001MAF2U,Fireside Coffee Instant Cafe Mocha (Butter Rum) (8 ounce),Fireside,FBA,False,14.49,True,14.49,Item,1604.0,False,9.6,7,4.2,18.0,0.0,0.11,0.0,0.47,0.43,,,,
B0001MAF4S,Fireside Coffee Cafe Mocha Instant Flavored Coffee 8 Ounce Canister - Hazelnut Mocha,Fireside Coffee,FBA,False,13.79,True,13.79,Item,2141.0,False,9.6,0,4.3,12.0,0.0,0.0,0.26,0.19,0.55,,,,
B0002AZWX8,"Nescafe Classic Instant Greek Coffee, 7.08 Ounce",Nescafé,FBA,True,11.59,True,1.66,Ounce,24.0,False,10.4,16,4.6,591.0,0.04,0.03,0.03,0.1,0.81,,,,
B0004M0HPM,"Chock Full o' Nuts Coffee, Regular Instant Coffee, 7 Oz",Chock Full o' Nuts,FBA,False,13.69,True,1.96,Ounce,431.0,False,22.4,0,4.7,66.0,0.02,0.03,0.01,0.11,0.83,,,,
B0005ZUI8Y,"Maxwell House Instant Coffee, 8 oz",MAXWELL HOUSE,Third Party,False,8.94,True,1.12,oz,3722.0,False,8.8,0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,
B0005ZV3BK,Maxwell House Original Roast Instant Decaf Coffee (8 oz Canister),MAXWELL HOUSE,,False,9.94,False,,,587.0,False,10.4,5,4.3,57.0,0.1,0.03,0.04,0.15,0.68,,,,
B0006NNICI,"Nescafe Taster's Choice, 100% Pure Instant Coffee Decaffeinated, 10 oz",Nescafé,Third Party,False,26.22,True,2.62,Ounce,1113.0,False,13.6,5,4.3,71.0,0.1,0.05,0.03,0.1,0.72,,,,
B0009K79UA,UCC The Blend 114 Instant Coffee 3.17 Ounce,C&U,FBA,False,14.91,True,4.24,Ounce,454.0,False,13.6,3,4.3,38.0,0.06,0.0,0.16,0.1,0.67,,,,
B0009K79UK,UCC - The Blend 117 Instant Coffee 3.52 Oz.,C&U,FBA,True,11.25,True,3.2,Ounce,154.0,False,14.4,5,4.4,96.0,0.07,0.05,0.03,0.1,0.75,,,,
B0009MYJLA,"Jablum Instant Coffee, 6 pack of 3.5 oz jars",JABLUM,,False,155.0,False,,,2705.0,False,20.8,0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,
B000BKGPUI,Big Train Blended Ice Coffees 3.5 lb 8oz / 56oz - Single Bag,Big Train,Amazon product,True,27.97,True,0.58,Ounce,495.0,False,56.0,5,4.2,30.0,0.1,0.0,0.13,0.13,0.64,,,,
B000BKGPVM,Big Train Blended Iced Coffee - Toffee Mocha (3.5lb Bulk),Big Train,FBA,False,35.0,True,0.63,Ounce,1358.0,True,57.6,0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.48, Ounce,0.46, Ounce
B000ESJR20,"Mount Hagen Organic Freeze Dried Instant Coffee, Award-Winning Single-Origin 100% Arabica 3.53 Ounce Jars (Pack of 6)",Mount Hagen,FBA,True,52.48,True,2.48,Ounce,62.0,True,75.2,26,4.7,381.0,0.03,0.01,0.03,0.07,0.87,2.48, Ounce,2.35, Ounce
B000ESJR2A,"Mount Hagen Organic Freeze Dried Instant Decaffeinated Coffee, Award-Winning, House Blend, Kosher, 3.53-Ounce Jars (Pack of 6)",Mount Hagen,FBA,True,49.99,True,2.36,Ounce,167.0,False,78.4,15,4.6,240.0,0.07,0.02,0.01,0.09,0.81,,,,
B000FI2NZW,Folgers Cappuccino French Vanilla 16 oz(Pack of 4),Folgers,Third Party,False,41.29,True,0.65,Ounce,1797.0,False,73.6,0,4.8,8.0,0.0,0.0,0.0,0.23,0.77,,,,
B000GL17DM,Hospitality Brands HT8091-012 Barista Cappuccino White Cup 7oz (Pack of 12),Hospitality Brands,Third Party,False,27.0,True,2.25,Item,5341.0,False,2.9,0,4.5,14.0,0.0,0.0,0.12,0.31,0.57,,,,
B000H28ADA,"Caffe D’Vita Mocha Cappuccino, 6 Pack (16 oz)",Caffe D'Vita,FBA,False,35.99,False,,,240.0,False,121.6,11,4.8,116.0,0.03,0.0,0.0,0.08,0.88,,,,
B000H28ADK,"Caffe D’Vita White Chocolate Cappuccino, Pack of 6, 1 lb cans (16 oz)",Caffe D'Vita,,False,36.99,False,,,305.0,False,64.0,0,4.3,57.0,0.1,0.05,0.06,0.07,0.72,,,,
