ASIN,FBA,amazon_choice,answered_questions,brand,price,productDescription,product_image_urls,product_name,product_url,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_avg,rating_nums,shipping_weight,subscribe,subscribe_price_15per,subscribe_price_5per,top_sales_rank,unit_price
B00NOE1KHG,,False,4,Brand: Starbucks,$16.50,"(2 Pack) Starbucks Via Ready Brew, Italian Dark Roast Instant Coffee, 8-Count each",https://m.media-amazon.com/images/I/710dCgZhSLL._AC_UL320_.jpg,"(2 Pack) Starbucks Via Ready Brew, Italian Dark Roast Instant Coffee, 8-Count each",https://www.amazon.com/Starbucks-Italian-Instant-Coffee-8-Count/dp/B00NOE1KHG/ref=sr_1_630?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-630&ts_id=2251594011&psc=1,8%,6%,5%,15%,66%,4.2,76, 3.2 ounces,,,,551,3.2 ounces
B00CSZE5LK,Ships from and sold by G.S. Sales15.,False,,Brand: Folgers,$16.95,"Folgers Classic Decaf Instant Coffee Crystals, 6-count (Pack of 6)",https://m.media-amazon.com/images/I/51fBdgvOx9L._AC_UL320_.jpg,"Folgers Classic Decaf Instant Coffee Crystals, 6-count (Pack of 6)",https://www.amazon.com/Folgers-Classic-Instant-Crystals-6-count/dp/B00CSZE5LK/ref=sr_1_606?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-606&ts_id=2251594011&psc=1,0%,0%,0%,0%,100%,5.0,2, 6.4 ounces (,,,,1367,($141.25 / 100 g)
B078PFCCF7,Ships from and sold by Arbor Spring.,False,,Brand: Nescafé,$18.73,"At NESCAFE TASTER'S CHOICE, we have a deep love of our craft and everything is done with purpose and care. Our master coffee crafters delicately roast and brew our unique coffee blends to lock in the fresh, rich aroma and flavor. Simply add hot water to unlock the superior taste of NESCAFE TASTER'S CHOICE Hazelnut Instant Coffee Beverage. Enjoy great coffee anywhere, anytime. It all starts with a NESCAFE.",https://m.media-amazon.com/images/I/71bC3SoNVXL._AC_UL320_.jpg,"NESCAFE TASTER'S CHOICE Hazelnut Instant Coffee Beverage, 0.1 ounce 16 Count (3 packs)",https://www.amazon.com/NESCAFE-TASTERS-Hazelnut-Instant-Beverage/dp/B078PFCCF7/ref=sr_1_582?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-582&ts_id=2251594011&psc=1,0%,0%,0%,0%,0%,,, 0.2 ounces (,,,,1371,($1.17 / Count)
B00520B6KG,Ships from and sold by CPGIO.,False,7,Brand: Maxwell,$20.28,"Maxwell House International, French Vanilla Iced Latte, Cafe-Style Beverage Mix in Single Serve Individual Packets. 6 Single Serving Packets Per Box, 5 Boxes. A Total of 30 Packets, 0.57 Ounce Each. A Sweet Vanilla Treat: Delight your senses with the velvety taste of French Vanilla in this creamy coffee drink. Share it with someone special or savor it all by yourself. Artificially flavored.",https://m.media-amazon.com/images/I/91aHj0Gb+bL._AC_UL320_.jpg,"Maxwell House International Cafe Iced Latte Cafe-Style Beverage Mix, Single Serve Packets, 3.42 OZ, French Vanilla 6 ea (pack of 5)",https://www.amazon.com/Maxwell-International-Cafe-Style-Beverage-Packets/dp/B00520B6KG/ref=sr_1_558?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-558&ts_id=2251594011&psc=1,2%,5%,2%,5%,85%,4.7,93, 1.8 pounds (,,,,491,($1.19 / Ounce)
B00VK0FTP0,Sold by CPGIO and Fulfilled by Amazon.,False,,Brand: Nescafé,$10.44,"Nescafe Classic Coffee delivers a rich, bold flavor.This has made it the most loved and popular coffee brand in Latin America for generations. It all starts with a Nescafe.",https://m.media-amazon.com/images/I/71PiszDkulL._AC_UL320_.jpg,"Nescafe Classic Coffee, Glass Jar, 100g",https://www.amazon.com/Nescafe-Classic-Coffee-Glass-100g/dp/B00VK0FTP0/ref=sr_1_534?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-534&ts_id=2251594011&psc=1,5%,2%,5%,19%,68%,4.4,835, 15.2 ounces (,,,,621,($2.96 / Ounce)
B000PG6KI0,Sold by InfiniteeShop and Fulfilled by Amazon.,False,,Brand: Gold Choice,$11.65,"GC instant ginseng coffee is an unique blend of ginseng (panax-quinquefolins) coffee beans. Blended with non-dairy creamer and sugar in well adjusted ratio promises rich and robust aroma.

Ingredients: Instant coffee, ginseng extract, sugar and non-dairy creamer.

Net: 400 gr (20g x 20 sachet)

Product of Pulau pinang, Malaysia",https://m.media-amazon.com/images/I/81GSeoAZexL._AC_UL320_.jpg,Gold Choice Ginseng Coffee,https://www.amazon.com/Gold-Choice-Ginseng-Coffee/dp/B000PG6KI0/ref=sr_1_510?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-510&ts_id=2251594011&psc=1,9%,3%,8%,7%,72%,4.3,54, 1 pounds (,,,,518,($0.83 / Ounce)
B00O2V7OJ8,,False,,Brand: Cafe Bustelo,,"Bold, rich flavor in an instant? Yes, please! With our single serve packets, you can enjoy our Instant Espresso Coffee on the go — any time, anywhere.",https://m.media-amazon.com/images/I/81kWHFt7LmL._AC_UL320_.jpg,"Café Bustelo Instant Coffee Single Serve Packets, 6 Count",https://www.amazon.com/Bustelo-Instant-Coffee-Single-Packets/dp/B00O2V7OJ8/ref=sr_1_486?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-486&ts_id=2251594011&psc=1,31%,0%,15%,15%,38%,3.3,14,,,,,1920,
B07WP14C3R,Sold by Sciest and Fulfilled by Amazon.,False,,Brand: BrewVolta,,BrewVolta Keto Blend is an instant coffee mix that contains electrolytes and medium-chain triglycerides (MCT) from coconut. MCT is an easily digestible fat that provides a rapid source of energy. The individual packets are perfect for mixing at home or on the go. Take them to work or school for an energy boost. Simply dissolve one packet in six to eight ounces of hot water and enjoy.,https://m.media-amazon.com/images/I/81kU++X-TLL._AC_UL320_.jpg,"BrewVolta Electrolyte Keto Coffee Mix, 20 Count",https://www.amazon.com/BrewVolta-Electrolyte-Keto-Coffee-Count/dp/B07WP14C3R/ref=sr_1_462?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-462&ts_id=2251594011&psc=1,29%,34%,0%,0%,37%,2.8,4, 8 ounces (,,,,982,8 ounces (
B07PBCS3LD,Auto-deliveries sold by Terrasoul Superfoods and Fulfilled by Amazon,True,4,Brand: Terrasoul Superfoods,$12.45,,https://m.media-amazon.com/images/I/61pX8U8eizL._AC_UL320_.jpg,"Sun Alchemy Cognitive Coffee, Mental Focus with Organic MCT Oil, Fair-Trade Coffee, Lion’s Mane, Reishi & Chaga - 10 Sachets",https://www.amazon.com/Alchemy-Cognitive-Coffee-Organic-Fair-Trade/dp/B07PBCS3LD/ref=sr_1_438?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-438&ts_id=2251594011&psc=1,12%,5%,8%,3%,73%,4.2,56, 5.9 ounces (,Subscribe & Save:,"$11.21

($2.39 /  Ounce)","$11.83

($2.52 /  Ounce)",171,($2.65 / Ounce)
B086R5QJ6P,Sold by Omnia Brands Co and Fulfilled by Amazon.,False,,Brand: Tierras del Cafe,$9.99,"Tierras Del Cafe premium Classic coffee is an exclusively sourced 100% Robusta Coffee selected from the most exclusive and well respected coffee growers and grounds. All of our coffee is grown sustainably by growers who form the basis for Fair Trade exchange. Proudly processed in Spain. Instructions: Use 1-2 teaspoons per cup. Add hot water and stir. Add dairy and sweetener to taste. Makes 60 servings per jar. Makes Iced and Hot Coffee & Good for Baking Our quality instant coffee easily dissolves in hot or cold water, making it easy to prepare your delicious coffee drink. Incorporate it into your coffee cake recipe as well! Buy Now !!",https://m.media-amazon.com/images/I/81X0nPkpWmL._AC_UL320_.jpg,Instant Coffee Classic Medium Roast | Convenient Robusta Bean Soluble Formula | Rich Flavorful Freshly Brewed Taste | Gluten Free | Non GMO | Kosher 3.53 OZ Jar | Cafe Instantaneo by Tierras Del Café,https://www.amazon.com/instant%C3%A1neo-cl%C3%A1sico-Conveniente-frijoles-Instantaneo/dp/B086R5QJ6P/ref=sr_1_414?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-414&ts_id=2251594011&psc=1,0%,0%,0%,0%,0%,,, 12.6 ounces (,,,,1427,($9.99 / Count)
